1,00:45:15.998977 IP 172.28.0.20.38327 > 172.28.0.10.5001: UDP, length 61
2,00:45:16.050351 IP 172.28.0.10.5001 > 172.28.0.20.38327: UDP, length 12
3,00:45:21.360315 IP 172.28.0.20.57520 > 172.28.0.10.5001: UDP, length 61
4,00:45:21.411079 IP 172.28.0.10.5001 > 172.28.0.20.57520: UDP, length 12
5,00:45:48.977385 IP 172.28.0.20.35774 > 172.28.0.10.5001: UDP, length 61
6,00:45:49.028433 IP 172.28.0.10.5001 > 172.28.0.20.35774: UDP, length 12
7,00:45:59.908797 IP 172.28.0.20.49155 > 172.28.0.10.5001: UDP, length 61
8,00:45:59.959577 IP 172.28.0.10.5001 > 172.28.0.20.49155: UDP, length 12
9,00:46:05.893146 IP 172.28.0.20.42943 > 172.28.0.10.5001: UDP, length 61
10,00:46:05.943931 IP 172.28.0.10.5001 > 172.28.0.20.42943: UDP, length 12
11,00:46:24.437852 IP 172.28.0.20.48095 > 172.28.0.10.5001: UDP, length 61
12,00:46:24.488677 IP 172.28.0.10.5001 > 172.28.0.20.48095: UDP, length 12
13,00:46:36.764867 IP 172.28.0.20.33729 > 172.28.0.10.5001: UDP, length 61
14,00:46:36.816020 IP 172.28.0.10.5001 > 172.28.0.20.33729: UDP, length 12
15,00:47:03.774058 IP 172.28.0.20.36489 > 172.28.0.10.5001: UDP, length 61
16,00:47:04.325075 IP 172.28.0.10.5001 > 172.28.0.20.36489: UDP, length 12
17,00:47:25.742564 IP 172.28.0.20.41449 > 172.28.0.10.5001: UDP, length 61
18,00:47:25.795298 IP 172.28.0.10.5001 > 172.28.0.20.41449: UDP, length 12
19,00:47:37.531677 IP 172.28.0.20.45355 > 172.28.0.10.5001: UDP, length 61
20,00:47:37.583170 IP 172.28.0.10.5001 > 172.28.0.20.45355: UDP, length 12
21,00:47:57.881343 IP 172.28.0.20.54810 > 172.28.0.10.5001: UDP, length 61
22,00:47:57.932035 IP 172.28.0.10.5001 > 172.28.0.20.54810: UDP, length 12
23,00:48:13.889301 IP 172.28.0.20.59591 > 172.28.0.10.5001: UDP, length 61
24,00:48:13.940030 IP 172.28.0.10.5001 > 172.28.0.20.59591: UDP, length 12
25,00:48:19.274003 IP 172.28.0.20.46098 > 172.28.0.10.5001: UDP, length 61
26,00:48:19.324812 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
27,00:48:19.824927 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
28,00:48:20.325079 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
29,00:48:20.825215 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
30,00:48:21.325445 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
31,00:48:21.825602 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
32,00:48:22.325775 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
33,00:48:23.826354 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
34,00:48:24.326530 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
35,00:48:24.826704 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
36,00:48:25.326853 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
37,00:48:25.826995 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
38,00:48:26.327171 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
39,00:48:26.827380 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
40,00:48:27.327514 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
41,00:48:27.827664 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
42,00:48:28.827971 IP 172.28.0.10.5001 > 172.28.0.20.46098: UDP, length 12
43,00:49:20.881037 IP 172.28.0.20.33300 > 172.28.0.10.5001: UDP, length 61
44,00:49:20.931854 IP 172.28.0.10.5001 > 172.28.0.20.33300: UDP, length 12
45,00:49:30.682417 IP 172.28.0.20.56719 > 172.28.0.10.5001: UDP, length 61
46,00:49:30.733155 IP 172.28.0.10.5001 > 172.28.0.20.56719: UDP, length 12
47,00:49:54.795129 IP 172.28.0.20.48637 > 172.28.0.10.5001: UDP, length 61
48,00:49:54.845874 IP 172.28.0.10.5001 > 172.28.0.20.48637: UDP, length 12
49,00:50:03.479635 IP 172.28.0.20.46139 > 172.28.0.10.5001: UDP, length 61
50,00:50:04.534229 IP 172.28.0.10.5001 > 172.28.0.20.46139: UDP, length 12
51,00:50:29.986926 IP 172.28.0.20.54641 > 172.28.0.10.5001: UDP, length 61
52,00:50:30.038083 IP 172.28.0.10.5001 > 172.28.0.20.54641: UDP, length 12
53,00:50:38.337914 IP 172.28.0.20.60666 > 172.28.0.10.5001: UDP, length 61
54,00:50:38.388667 IP 172.28.0.10.5001 > 172.28.0.20.60666: UDP, length 12
55,00:51:03.537733 IP 172.28.0.20.60681 > 172.28.0.10.5001: UDP, length 61
56,00:51:03.589176 IP 172.28.0.10.5001 > 172.28.0.20.60681: UDP, length 12
57,00:51:16.191086 IP 172.28.0.20.58631 > 172.28.0.10.5001: UDP, length 61
58,00:51:16.241851 IP 172.28.0.10.5001 > 172.28.0.20.58631: UDP, length 12
59,00:51:37.114935 IP 172.28.0.20.32776 > 172.28.0.10.5001: UDP, length 61
60,00:51:37.166558 IP 172.28.0.10.5001 > 172.28.0.20.32776: UDP, length 12
61,00:51:49.508231 IP 172.28.0.20.46198 > 172.28.0.10.5001: UDP, length 61
62,00:51:50.059196 IP 172.28.0.10.5001 > 172.28.0.20.46198: UDP, length 12
63,00:52:09.915308 IP 172.28.0.20.53513 > 172.28.0.10.5001: UDP, length 61
64,00:52:09.968319 IP 172.28.0.10.5001 > 172.28.0.20.53513: UDP, length 12
65,00:52:32.267898 IP 172.28.0.20.47660 > 172.28.0.10.5001: UDP, length 61
66,00:52:32.318942 IP 172.28.0.10.5001 > 172.28.0.20.47660: UDP, length 12
67,00:52:42.882488 IP 172.28.0.20.58390 > 172.28.0.10.5001: UDP, length 61
68,00:52:42.935836 IP 172.28.0.10.5001 > 172.28.0.20.58390: UDP, length 12
69,00:52:57.622886 IP 172.28.0.20.56626 > 172.28.0.10.5001: UDP, length 61
70,00:52:57.680426 IP 172.28.0.10.5001 > 172.28.0.20.56626: UDP, length 12
71,00:53:11.451382 IP 172.28.0.20.38616 > 172.28.0.10.5001: UDP, length 61
72,00:53:11.502357 IP 172.28.0.10.5001 > 172.28.0.20.38616: UDP, length 12
73,00:53:18.918460 IP 172.28.0.20.45084 > 172.28.0.10.5001: UDP, length 61
74,00:53:18.969241 IP 172.28.0.10.5001 > 172.28.0.20.45084: UDP, length 12
75,00:53:38.631047 IP 172.28.0.20.52983 > 172.28.0.10.5001: UDP, length 61
76,00:53:39.183232 IP 172.28.0.10.5001 > 172.28.0.20.52983: UDP, length 12
