1,23:13:03.242983 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [S], seq 497362649, win 64240, options [mss 1460,sackOK,TS val 3894686283 ecr 0,nop,wscale 7], length 0
2,23:13:03.268033 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [S.], seq 932320358, ack 497362650, win 65160, options [mss 1460,sackOK,TS val 2214075661 ecr 3894686283,nop,wscale 7], length 0
3,23:13:03.293109 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3894686333 ecr 2214075661], length 0
4,23:13:03.293351 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 1:39, ack 1, win 502, options [nop,nop,TS val 3894686333 ecr 2214075661], length 38
5,23:13:03.318371 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 39, win 509, options [nop,nop,TS val 2214075711 ecr 3894686333], length 0
6,23:13:03.343462 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 39:89, ack 1, win 502, options [nop,nop,TS val 3894686383 ecr 2214075711], length 50
7,23:13:03.368494 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 89, win 509, options [nop,nop,TS val 2214075761 ecr 3894686383], length 0
8,23:13:03.369329 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [P.], seq 1:3, ack 89, win 509, options [nop,nop,TS val 2214075762 ecr 3894686383], length 2
9,23:13:03.394389 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], ack 3, win 502, options [nop,nop,TS val 3894686434 ecr 2214075762], length 0
10,23:13:03.394489 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 89:2985, ack 3, win 502, options [nop,nop,TS val 3894686434 ecr 2214075762], length 2896
11,23:13:03.394503 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 2985:4185, ack 3, win 502, options [nop,nop,TS val 3894686434 ecr 2214075762], length 1200
12,23:13:03.394537 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 7081:9977, ack 3, win 502, options [nop,nop,TS val 3894686434 ecr 2214075762], length 2896
13,23:13:03.394542 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], seq 9977:11425, ack 3, win 502, options [nop,nop,TS val 3894686434 ecr 2214075762], length 1448
14,23:13:03.394551 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 11425:14321, ack 3, win 502, options [nop,nop,TS val 3894686434 ecr 2214075762], length 2896
15,23:13:03.419514 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 2985, win 555, options [nop,nop,TS val 2214075812 ecr 3894686434], length 0
16,23:13:03.419560 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 4185, win 623, options [nop,nop,TS val 2214075812 ecr 3894686434,nop,nop,sack 1 {7081:9977}], length 0
17,23:13:03.419561 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 4185, win 645, options [nop,nop,TS val 2214075812 ecr 3894686434,nop,nop,sack 1 {7081:11425}], length 0
18,23:13:03.419562 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 4185, win 690, options [nop,nop,TS val 2214075812 ecr 3894686434,nop,nop,sack 1 {7081:14321}], length 0
19,23:13:03.444591 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 14321:17217, ack 3, win 502, options [nop,nop,TS val 3894686484 ecr 2214075812], length 2896
20,23:13:03.444602 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 17217:20113, ack 3, win 502, options [nop,nop,TS val 3894686484 ecr 2214075812], length 2896
21,23:13:03.444619 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 20113:23009, ack 3, win 502, options [nop,nop,TS val 3894686484 ecr 2214075812], length 2896
22,23:13:03.444621 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 23009:25905, ack 3, win 502, options [nop,nop,TS val 3894686484 ecr 2214075812], length 2896
23,23:13:03.444624 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 25905:28801, ack 3, win 502, options [nop,nop,TS val 3894686484 ecr 2214075812], length 2896
24,23:13:03.444626 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], seq 4185:5633, ack 3, win 502, options [nop,nop,TS val 3894686484 ecr 2214075812], length 1448
25,23:13:03.444640 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], seq 5633:7081, ack 3, win 502, options [nop,nop,TS val 3894686484 ecr 2214075812], length 1448
26,23:13:03.469654 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 28801, win 607, options [nop,nop,TS val 2214075862 ecr 3894686484], length 0
27,23:13:03.494720 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 28801:31697, ack 3, win 502, options [nop,nop,TS val 3894686534 ecr 2214075862], length 2896
28,23:13:03.494769 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 31697:34593, ack 3, win 502, options [nop,nop,TS val 3894686534 ecr 2214075862], length 2896
29,23:13:03.494774 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 34593:37489, ack 3, win 502, options [nop,nop,TS val 3894686534 ecr 2214075862], length 2896
30,23:13:03.494793 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 37489:40385, ack 3, win 502, options [nop,nop,TS val 3894686534 ecr 2214075862], length 2896
31,23:13:03.494797 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 40385:43281, ack 3, win 502, options [nop,nop,TS val 3894686534 ecr 2214075862], length 2896
32,23:13:03.494802 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], seq 43281:44729, ack 3, win 502, options [nop,nop,TS val 3894686534 ecr 2214075862], length 1448
33,23:13:03.519750 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 31697, win 737, options [nop,nop,TS val 2214075912 ecr 3894686534], length 0
34,23:13:03.519799 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 34593, win 783, options [nop,nop,TS val 2214075912 ecr 3894686534], length 0
35,23:13:03.519800 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 37489, win 828, options [nop,nop,TS val 2214075913 ecr 3894686534], length 0
36,23:13:03.519805 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 40385, win 873, options [nop,nop,TS val 2214075913 ecr 3894686534], length 0
37,23:13:03.519806 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 43281, win 918, options [nop,nop,TS val 2214075913 ecr 3894686534], length 0
38,23:13:03.544819 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], seq 44729:46177, ack 3, win 502, options [nop,nop,TS val 3894686585 ecr 2214075912], length 1448
39,23:13:03.544858 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 46177:49073, ack 3, win 502, options [nop,nop,TS val 3894686585 ecr 2214075912], length 2896
40,23:13:03.544863 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 49073:51969, ack 3, win 502, options [nop,nop,TS val 3894686585 ecr 2214075913], length 2896
41,23:13:03.544867 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 51969:54865, ack 3, win 502, options [nop,nop,TS val 3894686585 ecr 2214075913], length 2896
42,23:13:03.544872 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 54865:57761, ack 3, win 502, options [nop,nop,TS val 3894686585 ecr 2214075913], length 2896
43,23:13:03.560797 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 44729, win 941, options [nop,nop,TS val 2214075954 ecr 3894686534], length 0
44,23:13:03.569852 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 46177, win 964, options [nop,nop,TS val 2214075963 ecr 3894686585], length 0
45,23:13:03.569884 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 49073, win 1009, options [nop,nop,TS val 2214075963 ecr 3894686585], length 0
46,23:13:03.569885 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 51969, win 1054, options [nop,nop,TS val 2214075963 ecr 3894686585], length 0
47,23:13:03.569886 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 54865, win 1099, options [nop,nop,TS val 2214075963 ecr 3894686585], length 0
48,23:13:03.569887 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 57761, win 1145, options [nop,nop,TS val 2214075963 ecr 3894686585], length 0
49,23:13:03.585866 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 57761:60657, ack 3, win 502, options [nop,nop,TS val 3894686626 ecr 2214075954], length 2896
50,23:13:03.594916 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [.], seq 60657:62105, ack 3, win 502, options [nop,nop,TS val 3894686635 ecr 2214075963], length 1448
51,23:13:03.594968 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 62105:65001, ack 3, win 502, options [nop,nop,TS val 3894686635 ecr 2214075963], length 2896
52,23:13:03.594974 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 65001:67897, ack 3, win 502, options [nop,nop,TS val 3894686635 ecr 2214075963], length 2896
53,23:13:03.594979 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 67897:70793, ack 3, win 502, options [nop,nop,TS val 3894686635 ecr 2214075963], length 2896
54,23:13:03.594984 IP 172.28.0.20.42898 > 172.28.0.10.5000: Flags [P.], seq 70793:73689, ack 3, win 502, options [nop,nop,TS val 3894686635 ecr 2214075963], length 2896
55,23:13:03.610904 IP 172.28.0.10.5000 > 172.28.0.20.42898: Flags [.], ack 60657, win 1190, options [nop,nop,TS val 2214076004 ecr 3894686626], length 0
