1,23:11:17.091714 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [S], seq 3068079240, win 64240, options [mss 1460,sackOK,TS val 3894580151 ecr 0,nop,wscale 7], length 0
2,23:11:17.096750 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [S.], seq 601991087, ack 3068079241, win 65160, options [mss 1460,sackOK,TS val 2213969509 ecr 3894580151,nop,wscale 7], length 0
3,23:11:17.101815 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3894580161 ecr 2213969509], length 0
4,23:11:17.101961 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 1:39, ack 1, win 502, options [nop,nop,TS val 3894580162 ecr 2213969509], length 38
5,23:11:17.106980 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 39, win 509, options [nop,nop,TS val 2213969520 ecr 3894580162], length 0
6,23:11:17.112018 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 39:89, ack 1, win 502, options [nop,nop,TS val 3894580172 ecr 2213969520], length 50
7,23:11:17.117041 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 89, win 509, options [nop,nop,TS val 2213969530 ecr 3894580172], length 0
8,23:11:17.117375 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [P.], seq 1:3, ack 89, win 509, options [nop,nop,TS val 2213969530 ecr 3894580172], length 2
9,23:11:17.122408 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [.], ack 3, win 502, options [nop,nop,TS val 3894580182 ecr 2213969530], length 0
10,23:11:17.122498 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 89:2985, ack 3, win 502, options [nop,nop,TS val 3894580182 ecr 2213969530], length 2896
11,23:11:17.122513 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 2985:4185, ack 3, win 502, options [nop,nop,TS val 3894580182 ecr 2213969530], length 1200
12,23:11:17.122535 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 4185:7081, ack 3, win 502, options [nop,nop,TS val 3894580182 ecr 2213969530], length 2896
13,23:11:17.122539 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 7081:9977, ack 3, win 502, options [nop,nop,TS val 3894580182 ecr 2213969530], length 2896
14,23:11:17.122543 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [.], seq 9977:11425, ack 3, win 502, options [nop,nop,TS val 3894580182 ecr 2213969530], length 1448
15,23:11:17.122546 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 11425:14321, ack 3, win 502, options [nop,nop,TS val 3894580182 ecr 2213969530], length 2896
16,23:11:17.127520 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 2985, win 555, options [nop,nop,TS val 2213969540 ecr 3894580182], length 0
17,23:11:17.127557 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 7081, win 623, options [nop,nop,TS val 2213969540 ecr 3894580182], length 0
18,23:11:17.127558 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 9977, win 668, options [nop,nop,TS val 2213969540 ecr 3894580182], length 0
19,23:11:17.127559 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 14321, win 674, options [nop,nop,TS val 2213969540 ecr 3894580182], length 0
20,23:11:17.132589 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 14321:17217, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 2896
21,23:11:17.132608 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 17217:20113, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 2896
22,23:11:17.132642 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 20113:23009, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 2896
23,23:11:17.132646 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 23009:25905, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 2896
24,23:11:17.132650 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 25905:28801, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 2896
25,23:11:17.132653 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 28801:33145, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 4344
26,23:11:17.132657 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 33145:37489, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 4344
27,23:11:17.132660 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 37489:41833, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 4344
28,23:11:17.132663 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [.], seq 41833:43281, ack 3, win 502, options [nop,nop,TS val 3894580192 ecr 2213969540], length 1448
29,23:11:17.137621 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 17217, win 719, options [nop,nop,TS val 2213969550 ecr 3894580192], length 0
30,23:11:17.137626 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 20113, win 723, options [nop,nop,TS val 2213969550 ecr 3894580192], length 0
31,23:11:17.137681 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 43281, win 571, options [nop,nop,TS val 2213969550 ecr 3894580192], length 0
32,23:11:17.142702 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 43281:46177, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 2896
33,23:11:17.142722 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 46177:51969, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 5792
34,23:11:17.142747 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 51969:62105, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 10136
35,23:11:17.142751 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 62105:72241, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 10136
36,23:11:17.142755 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 72241:78033, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 5792
37,23:11:17.142759 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 78033:88169, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 10136
38,23:11:17.142762 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 88169:98305, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 10136
39,23:11:17.142766 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 98305:101201, ack 3, win 502, options [nop,nop,TS val 3894580202 ecr 2213969550], length 2896
40,23:11:17.147729 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 46177, win 746, options [nop,nop,TS val 2213969560 ecr 3894580202], length 0
41,23:11:17.148415 IP 172.28.0.10.5000 > 172.28.0.20.42828: Flags [.], ack 101201, win 746, options [nop,nop,TS val 2213969561 ecr 3894580202], length 0
42,23:11:17.152805 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 101201:106993, ack 3, win 502, options [nop,nop,TS val 3894580212 ecr 2213969560], length 5792
43,23:11:17.153471 IP 172.28.0.20.42828 > 172.28.0.10.5000: Flags [P.], seq 106993:120025, ack 3, win 502, options [nop,nop,TS val 3894580213 ecr 2213969561], length 13032
